epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0069,2.68773,5.99183,2.93054,2.64728,0.0105,0.73245,0.15528,0.05277,3e-05,0.0019,1e-05,0,2.33067,4.10467,2.74306,2.67171,0.00018,0.00018,0.00018
2,32.8142,2.2547,4.51137,2.73002,2.26777,0.01095,0.76376,0.17468,0.0604,1e-05,0.00095,1e-05,0,2.27917,3.91328,2.60099,2.70556,0.000376238,0.000376238,0.000376238
3,42.1664,2.14704,3.83975,2.50168,2.13297,0.01222,0.85199,0.24148,0.09055,1e-05,0.00095,1e-05,0,2.22394,4.4813,2.54293,2.50763,0.000568516,0.000568516,0.000568516
4,51.446,2.06536,3.63331,2.42199,2.05047,0.03018,0.82827,0.15312,0.05186,0,0,0,0,2.31272,5.91193,2.57654,2.69759,0.000756834,0.000756834,0.000756834
5,60.1406,2.07631,3.52418,2.36859,1.97532,0.31132,0.29222,0.23725,0.0851,3e-05,0.0019,1e-05,0,2.3502,3.25546,2.34964,2.99232,0.000941192,0.000941192,0.000941192
6,68.8367,1.95631,3.60173,2.23191,1.92433,0.2563,0.38615,0.21908,0.07711,0.0002,0.01423,0.00011,2e-05,2.16691,3.11219,2.25679,2.64338,0.00112159,0.00112159,0.00112159
7,77.3252,1.95413,3.31427,2.16333,1.94255,0.22261,0.33907,0.17127,0.05943,0.00023,0.01613,0.00012,3e-05,2.17156,3.21753,2.19866,2.47969,0.00129803,0.00129803,0.00129803
8,85.9783,1.96277,3.3881,2.16868,1.93787,0.09394,0.2685,0.07232,0.02151,0.00016,0.01139,8e-05,2e-05,2.83048,3.13539,2.59726,3.51971,0.00147051,0.00147051,0.00147051
9,94.6314,1.88852,3.47607,2.18837,1.90059,0.21176,0.26755,0.13328,0.04103,0.00016,0.01139,8e-05,1e-05,2.48707,2.92973,3.85792,3.27839,0.00163902,0.00163902,0.00163902
10,103.084,1.84014,3.28963,2.1564,1.88067,0.23181,0.33966,0.16091,0.05097,0.00057,0.00664,8e-05,2e-05,2.43044,2.85905,3.69046,2.86024,0.00180358,0.00180358,0.00180358
