epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,250.914,1.48516,2.96337,1.56795,1.60735,0.50341,0.62398,0.52456,0.25385,0.0834,0.13896,0.02454,0.00474,1.71278,2.58655,1.93103,1.99711,0.0014258,0.0014258,0.0014258
31,259.698,1.47925,2.88993,1.48187,1.56852,0.49654,0.57902,0.49488,0.23896,0.11065,0.15259,0.04246,0.0086,1.72267,2.5993,1.90648,2.02167,0.001406,0.001406,0.001406
32,268.791,1.47334,2.90675,1.52706,1.57736,0.47936,0.57629,0.47163,0.22445,0.13325,0.17711,0.05195,0.0112,1.78456,2.5956,1.91426,2.08137,0.0013862,0.0013862,0.0013862
33,276.74,1.43822,2.88242,1.54965,1.55007,0.51267,0.56469,0.50068,0.23957,0.13669,0.1703,0.05097,0.01091,1.79749,2.54808,1.86846,2.0886,0.0013664,0.0013664,0.0013664
34,285.154,1.4177,2.77163,1.46144,1.50312,0.61088,0.56403,0.58095,0.28533,0.12068,0.17302,0.0397,0.00794,1.69789,2.48015,1.73307,2.01201,0.0013466,0.0013466,0.0013466
35,294.139,1.43944,2.89928,1.55179,1.56854,0.55475,0.6049,0.57986,0.28387,0.10194,0.13896,0.0227,0.00419,1.63081,2.55627,1.75422,1.96055,0.0013268,0.0013268,0.0013268
36,302.942,1.46284,2.94742,1.52291,1.57018,0.5308,0.59946,0.56835,0.28156,0.0924,0.17711,0.03246,0.00644,1.61742,2.4118,1.75614,1.96343,0.001307,0.001307,0.001307
37,311.336,1.41917,2.86935,1.42018,1.53386,0.56895,0.59537,0.58389,0.29233,0.10632,0.18937,0.04965,0.00912,1.61476,2.37087,1.70134,1.95035,0.0012872,0.0012872,0.0012872
38,320.598,1.51982,2.9061,1.53976,1.65185,0.54472,0.61616,0.57333,0.28862,0.168,0.1267,0.05791,0.01053,1.58835,2.33411,1.72292,1.91961,0.0012674,0.0012674,0.0012674
39,328.955,1.42124,2.63101,1.44657,1.49626,0.57573,0.6267,0.62203,0.33288,0.08971,0.16213,0.04157,0.00799,1.48847,2.29614,1.6696,1.79791,0.0012476,0.0012476,0.0012476
40,338.043,1.40901,2.76827,1.47362,1.52518,0.55011,0.65123,0.62354,0.33806,0.10014,0.08038,0.02528,0.00483,1.46588,2.32702,1.67523,1.77982,0.0012278,0.0012278,0.0012278
41,347.631,1.43677,2.80978,1.47606,1.52609,0.58984,0.6376,0.64805,0.34369,0.08978,0.10354,0.03405,0.00688,1.45588,2.33858,1.68718,1.76718,0.001208,0.001208,0.001208
